,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
151,2018,NYG,0,606,150,312,59,249,11,30,185,84,16,191,76,3,0,0,5,5,0,37,231,45,1097
152,2018,NYJ,2,697,28,258,74,349,13,39,293,114,13,318,76,3,0,0,7,7,0,25,324,46,1238
153,2018,PHI,0,648,64,226,82,379,12,44,311,133,10,139,68,0,0,0,7,7,0,33,216,33,725
154,2018,PIT,0,604,84,282,70,357,13,51,347,115,8,89,69,2,2,0,7,7,1,31,252,32,619
155,2018,SEA,0,633,48,258,66,302,18,40,244,109,12,196,64,1,0,0,14,14,1,25,143,29,669
156,2018,SF,1,643,98,242,72,293,11,36,221,92,2,55,39,1,1,0,5,5,0,31,180,36,944
157,2018,TB,0,713,72,202,79,349,12,38,232,93,9,97,56,0,0,0,8,8,2,26,163,31,631
158,2018,TEN,1,607,113,323,59,276,12,39,248,84,11,120,64,2,0,0,6,6,0,27,237,23,737
159,2018,WAS,0,606,93,315,63,308,19,46,297,94,15,203,60,0,0,0,11,11,1,17,110,29,570
160,2019,ARI,0,714,62,342,81,322,19,40,275,91,7,82,56,0,0,0,10,10,0,24,168,36,764
161,2019,ATL,1,586,51,395,63,283,17,28,219,69,12,130,57,1,0,0,8,8,1,37,263,25,571
162,2019,BAL,0,574,41,257,66,308,15,37,268,111,13,259,71,2,1,0,12,12,4,25,206,27,493
163,2019,BUF,1,583,115,303,84,425,16,44,298,92,14,59,83,0,1,0,9,9,0,32,243,32,802
164,2019,CAR,0,663,27,315,72,328,8,53,301,108,14,141,67,0,2,4,7,7,1,25,171,31,677
165,2019,CHI,1,711,15,231,52,261,12,32,242,79,10,157,67,1,1,0,9,9,0,33,302,34,903
166,2019,CIN,1,629,32,376,58,261,9,31,204,86,11,181,58,0,1,0,5,5,0,29,164,42,1091
167,2019,CLE,0,665,39,287,74,349,12,38,270,82,14,219,64,1,0,27,6,6,0,23,163,38,830
168,2019,DAL,0,631,26,346,74,396,14,39,303,90,7,83,71,0,0,0,10,10,1,23,131,20,325
169,2019,DEN,0,624,57,353,73,277,9,40,213,79,10,87,70,0,0,0,6,7,1,27,208,21,534
170,2019,DET,2,702,58,288,41,198,16,28,188,70,7,76,73,0,0,0,11,11,1,31,246,23,564
171,2019,GB,0,627,44,306,59,309,12,41,295,94,17,177,74,0,0,0,7,7,0,20,98,32,667
172,2019,HOU,0,626,63,327,48,228,14,31,215,91,12,302,75,2,0,19,10,10,0,22,214,14,308
173,2019,IND,2,619,117,287,62,275,14,41,249,82,15,167,50,1,2,0,8,8,0,24,418,31,707
174,2019,JAX,0,647,29,295,76,399,13,46,304,104,10,132,60,1,0,0,9,9,1,31,154,26,628
175,2019,KC,1,652,38,320,65,383,13,45,338,96,16,141,65,1,0,7,7,7,2,32,222,37,927
